Combination,Model,Max Tokens,Temperature,Context,Prompt,Response,Word Count,,Simple Context,Simple Prompt,,,,,,,,
Combination 93,gpt-3.5-turbo,50,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in languages like Python, C++, and Java, and tools like GitHub, PostgreSQL, and Unity. I have experience in",39,,C3,P2,C3_P2,,,,,,,
Combination 94,gpt-4-turbo,50,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am proficient in Python, C++, and Java, and familiar with tools like GitHub, PostgreSQL, and Unity. My experience includes leading",39,,C3,P2,C3_P2,,,,,,,
Combination 95,gpt-3.5-turbo,100,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java, and skilled in tools like GitHub, PostgreSQL, and Unity. I have experience in academic and personal projects, and have led STEM education initiatives, enhancing my communication and problem-solving abilities.",55,,C3,P2,C3_P2,,,,,,,
Combination 96,gpt-4-turbo,100,0,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I possess a strong command of programming languages like Python, C++, and Java, along with technical tools such as GitHub, PostgreSQL, and Unity. My experience extends from academic and personal projects to leading STEM education initiatives, enhancing my communication skills and ability to inspire creativity and problem-solving in others.",67,,C3,P2,C3_P2,,,,,,,
Combination 97,gpt-3.5-turbo,25,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning,",20,,C3,P2,C3_P2,,,,,,,
Combination 98,gpt-4-turbo,25,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am",20,,C3,P2,C3_P2,,,,,,,
Combination 99,gpt-3.5-turbo,50,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in languages like Python, C++, and Java, and tools like GitHub, PostgreSQL, and Unity. I have experience in academic",39,,C3,P2,C3_P2,,,,,,,
Combination 100,gpt-4-turbo,50,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I specialize in full stack web development, AI, and machine learning, with proficiency in Python, C++, Java, GitHub, PostgreSQL, and Unity through various academic and personal projects. I have also led",38,,C3,P2,C3_P2,,,,,,,
Combination 101,gpt-3.5-turbo,100,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a 3rd year computer science student proficient in full stack web development, AI, and machine learning, with skills in Python, C++, and Java, as well as tools like GitHub and PostgreSQL. I have experience leading STEM education initiatives, enhancing my communication and problem-solving abilities.",46,,C3,P2,C3_P2,,,,,,,
Combination 102,gpt-4-turbo,100,0.5,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student with expertise in full stack web development, AI, and machine learning, I am proficient in programming languages like Python, C++, and Java, and tools such as GitHub, PostgreSQL, and Unity. My experience includes leading STEM education initiatives and managing both academic and personal projects, enhancing my communication skills and ability to promote creativity and problem-solving in teams.",64,,C3,P2,C3_P2,,,,,,,
Combination 103,gpt-3.5-turbo,25,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a proficient 3rd year computer science student specializing in full stack web development, AI, and machine learning with skills",21,,C3,P2,C3_P2,,,,,,,
Combination 104,gpt-4-turbo,25,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student proficient in full stack web development, AI, and machine learning, I possess a",20,,C3,P2,C3_P2,,,,,,,
Combination 105,gpt-3.5-turbo,50,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"A proficient 3rd year computer science student with expertise in full stack web development, AI, and machine learning, proficient in Python, C++, and Java alongside tools like GitHub, PostgreSQL, and Unity. Experienced in academic and personal projects and skilled in",40,,C3,P2,C3_P2,,,,,,,
Combination 106,gpt-4-turbo,50,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a 3rd year computer science student, I possess expertise in full stack web development, AI, and machine learning, with proficiency in Python, C++, Java, GitHub, PostgreSQL, and Unity, developed through both academic and personal projects. My",37,,C3,P2,C3_P2,,,,,,,
Combination 107,gpt-3.5-turbo,100,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"I am a seasoned 3rd year computer science student proficient in full stack web development, AI, and machine learning, with a diverse skill set encompassing various programming languages and technical tools. Alongside academic and personal project experience, my passion for leading STEM education initiatives has further refined my communication and problem-solving abilities.",52,,C3,P2,C3_P2,,,,,,,
Combination 108,gpt-4-turbo,100,1,"You are an informative assistant, providing clear and factual information.",Rewrite the following description in just 2 sentences:,"As a proficient 3rd year computer science student specializing in full stack web development, AI, and machine machine learning, I possess a deep understanding of multiple programming languages like Python, C++, and Java, along with technical tools such as GitHub, PostgreSQL, and Unity. My experience includes leading STEM education initiatives and working on both academic and personal projects, enhancing my capacity to effectively communicate complex ideas and promote creativity and problem-solving in team settings.",74,,C3,P2,C3_P2,,,,,,,
